mapName,keyword,date,weekday,hour,time,dateTime,price,tradeCount,timeUnit
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,20,20:00,2025-12-28 20:00:00,4800440.0,34,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,21,21:00,2025-12-28 21:00:00,5103571.0,35,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,22,22:00,2025-12-28 22:00:00,4281481.0,31,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-28,일,23,23:00,2025-12-28 23:00:00,3679166.0,30,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,0,00:00,2025-12-29 00:00:00,2761538.0,32,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,1,01:00,2025-12-29 01:00:00,2429629.0,28,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,2,02:00,2025-12-29 02:00:00,1194176.0,20,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,3,03:00,2025-12-29 03:00:00,1014999.0,22,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,4,04:00,2025-12-29 04:00:00,584615.0,15,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,5,05:00,2025-12-29 05:00:00,865217.0,25,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,6,06:00,2025-12-29 06:00:00,1033332.0,15,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,7,07:00,2025-12-29 07:00:00,3258479.0,20,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,8,08:00,2025-12-29 08:00:00,2600156.0,16,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,9,09:00,2025-12-29 09:00:00,3575362.0,23,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,10,10:00,2025-12-29 10:00:00,4392856.0,15,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,11,11:00,2025-12-29 11:00:00,6572221.0,18,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,12,12:00,2025-12-29 12:00:00,7184210.0,27,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,13,13:00,2025-12-29 13:00:00,4792407.0,30,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,14,14:00,2025-12-29 14:00:00,6166666.0,21,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,15,15:00,2025-12-29 15:00:00,6449999.0,31,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,16,16:00,2025-12-29 16:00:00,7592856.0,19,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,17,17:00,2025-12-29 17:00:00,6644827.0,31,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,18,18:00,2025-12-29 18:00:00,5668749.0,38,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,19,19:00,2025-12-29 19:00:00,5357142.0,29,HOURLY
미나르숲:남겨진 용의 둥지,미나르숲:남겨진 용의 둥지,2025-12-29,월,20,20:00,2025-12-29 20:00:00,7206249.0,33,HOURLY
